species_vn,species_latin,family,category_type,type,origin,light_requirements,min_temp,watering_needs,soil_ph,flower_color,bloom_season,fertilizing_guide,indoor_outdoor,meaning_fengshui,key_features,image_url,source_url
"Cây Kim Tiền","Zamioculcas zamiifolia","Araceae (Ráy)","Cây phong thủy nội thất","Cây thân thảo","Châu Phi nhiệt đới","Ít sáng - ánh sáng gián tiếp",15,"Khi đất khô hoàn toàn, 1-2 tuần/lần","5.5-6.5","-","-","Phân NPK lỏng 1 tháng/lần vào mùa xuân-hè","Trong nhà, văn phòng","Chiêu tài, hút lộc, thịnh vượng","Lá xanh sẫm mọng nước. Rất dễ sống, chịu hạn tốt. Lọc không khí. Cây phong thủy số 1 cho người tuổi Tý.","","https://webcaycanh.com/top-100-cay-trong-trong-nha-khong-can-anh-sang/"
"Cây Kim Ngân","Pachira aquatica","Malvaceae (Bông)","Cây phong thủy nội thất","Cây thân gỗ nhỏ","Nam Mỹ nhiệt đới","Sáng gián tiếp, gần cửa sổ",15,"1 lần/tuần, giữ ẩm nhẹ","5.5-7.0","Trắng kem","Hiếm khi trong nhà","Phân NPK 1 tháng/lần mùa sinh trưởng","Trong nhà, văn phòng","Tài lộc, may mắn, vững chãi","Thân xoắn đặc trưng, lá xòe 5-6 nhánh như bàn tay. Money Tree. Hợp tuổi Tuất.","","https://caycanhhanoi.com"
"Cây Lưỡi Hổ","Sansevieria trifasciata","Asparagaceae (Măng tây)","Cây lọc không khí","Cây thân thảo","Tây Phi","Chịu bóng cực tốt, ít sáng",10,"2-4 tuần/lần, để đất khô giữa các lần tưới","5.5-7.0","Trắng xanh","Mùa xuân","Phân NPK 2-3 tháng/lần","Trong nhà, phòng ngủ","Xua đuổi tà ma, bảo vệ, may mắn","Lá cứng mọc thẳng, vằn xanh-vàng. Nhả oxy ban đêm. Lọc formaldehyde, benzene. Cây dễ sống nhất.","","https://spacet.vn/blog/cham-soc-nha/top-19-loai-cay-canh-trong-nha-hop-phong-thuy-va-de-cham-soc-nhat-hien-nay"
"Cây Trầu Bà","Epipremnum aureum","Araceae (Ráy)","Cây lọc không khí","Cây leo, thân thảo","Đảo Solomon","Ít sáng, bóng râm",15,"Khi đất mặt khô, 2-3 lần/tuần","5.5-7.0","-","-","Phân lỏng 1 tháng/lần","Trong nhà, treo, thủy sinh","Phát triển thuận lợi, công danh","Cây leo dễ tính nhất. Lọc không khí, hút bức xạ. Có thể trồng đất hoặc thủy sinh. Hợp mệnh Hỏa, Mộc. Tuổi Ngọ.","","https://caycanhhanoi.com"
"Cây Phát Tài (Thiết Mộc Lan)","Dracaena fragrans","Asparagaceae (Măng tây)","Cây phong thủy nội thất","Cây thân gỗ nhỏ","Tây Phi","Sáng gián tiếp, chịu bóng",15,"1-2 lần/tuần, giữ ẩm đều","5.5-6.5","Trắng thơm","Hiếm trong nhà","Phân NPK 2 tuần/lần xuân-hè","Trong nhà, văn phòng","May mắn, tài lộc, thuận lợi","Lá dài viền xanh/vàng. Có dạng thân to 1-3m để sàn. Trúc Phát Tài dạng thân nhỏ.","","https://webcaycanh.com"
"Cây Vạn Niên Thanh","Dieffenbachia","Araceae (Ráy)","Cây nội thất","Cây thân thảo","Bắc Nam Mỹ, Tây Ấn","Bóng râm, ít sáng",15,"Giữ ẩm đều, 2-3 lần/tuần","5.5-7.0","Trắng","Mùa hè","Phân NPK 1 tháng/lần","Trong nhà, văn phòng","Sức khỏe, trường thọ","Lá to đốm trắng xanh. Chịu hạn và chịu nước tốt. Hợp mệnh Kim, Thủy. Tuổi Thìn. Lưu ý: nhựa cây có độc.","","https://webcaycanh.com"
"Cây Ngọc Ngân","Aglaonema commutatum/costatum","Araceae (Ráy)","Cây nội thất","Cây thân thảo","Malaysia, Indonesia","Sáng gián tiếp, bán râm",15,"Giữ ẩm, 2-3 lần/tuần","5.5-6.5","Trắng","Mùa hè","Phân NPK 1 tháng/lần","Trong nhà, bàn làm việc","Tình yêu, may mắn, bổng lộc","Lá đốm trắng/hồng nổi bật. Còn gọi là Valentine. Hợp mệnh Kim, Thủy.","","https://webcaycanh.com"
"Cây Lan Ý","Spathiphyllum wallisii","Araceae (Ráy)","Cây lọc không khí","Cây thân thảo","Châu Mỹ nhiệt đới","Bóng râm, ít sáng",15,"Tưới thường xuyên, giữ ẩm","5.5-6.5","Trắng","Mùa xuân-hè","Phân NPK 1 tháng/lần","Trong nhà, phòng ngủ","Bình an, hài hòa, thanh lọc","Hoa trắng hình chiếc thuyền. Đứng đầu danh sách lọc không khí NASA. Hút bức xạ.","","https://webcaycanh.com"
"Cây Phú Quý","Aglaonema hybrid","Araceae (Ráy)","Cây phong thủy","Cây thân thảo","Indonesia (lai tạo 1982)","Sáng gián tiếp, bán phần",15,"Tưới vừa phải, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, văn phòng","Giàu sang, phú quý, may mắn","Lá xanh viền đỏ tía. Do nhà thực vật học Gregori lai tạo. Lọc không khí. Hợp mệnh Hỏa.","","https://webcaycanh.com"
"Cây Bạch Mã Hoàng Tử","Zamioculcas zamiifolia 'Raven'","Araceae (Ráy)","Cây nội thất","Cây thân thảo","Châu Phi","Ít sáng, bóng râm",15,"Khi đất khô, 1-2 tuần/lần","5.5-6.5","-","-","Phân NPK 1-2 tháng/lần","Trong nhà, văn phòng","Sự nghiệp thăng tiến, may mắn","Lá xanh đậm bóng. Rất dễ sống. Hợp mệnh Kim, Thủy. Cây để bàn phổ biến.","","https://vuoncayviet.com"
