guide_topic,guide_url,vietnamese_title,key_content
"Đặt cây (Position)","https://www.bonsaiempire.vn/basics/bonsai-care/position","Đặt cây Bonsai của bạn","- Cây trong nhà: đặt ở cửa sổ hướng Nam - ánh sáng là tối quan trọng\n- Cây (cận)nhiệt đới: cần độ ẩm cao, đặt trong khay ẩm\n- Cây ngoài trời: đặt nơi nhiều ánh sáng, che bóng chiều nếu quá nóng\n- Mùa đông: cần bảo vệ cây ngoài trời\n- Cây phổ biến trong nhà: Sanh, Carmona, Du Trung Quốc\n- Cây phổ biến ngoài trời: Bách xù, Thông, Phong"
"Tưới nước (Watering)","https://www.bonsaiempire.vn/basics/bonsai-care/watering","Tưới nước cho cây Bonsai","- Không có lịch tưới cố định - phụ thuộc: giống cây, kích thước chậu, mùa, đất, khí hậu\n- Tưới khi đất hơi khô (kiểm tra bằng ngón tay sâu 1cm)\n- Không bao giờ để cây héo\n- Tưới kỹ cho đến khi nước chảy ra lỗ thoát nước\n- Dùng bình tưới có vòi tốt, nước mưa tốt nhất\n- Hỗn hợp đất lý tưởng: Akadama 50% + đá bọt 25% + đá nham thạch 25%\n- Tránh tưới nước lạnh vào buổi chiều nắng nóng"
"Bón phân (Fertilizing)","https://www.bonsaiempire.vn/basics/bonsai-care/fertilizing","Bón phân cho Bonsai","- 3 thành phần cơ bản: Đạm (N) - lá & thân, Lân (P) - rễ & hoa, Kali (K) - phát triển chung\n- Bón từ đầu xuân tới giữa thu\n- Cây trong nhà: bón quanh năm\n- Xuân: NPK 10:6:6, Hè: NPK 6:6:6, Thu: NPK 3:6:6\n- Cây ra hoa: NPK 6:10:6 (lân cao)\n- Dạng phân: rắn (viên) hoặc lỏng, hữu cơ hoặc vô cơ\n- Biogold là thương hiệu phổ biến\n- Không bón quá nhiều - sẽ hại cây"
"Đất trồng (Soil)","https://www.bonsaiempire.vn/basics/bonsai-care/bonsai-soil","Chất nền cho Bonsai","- Yêu cầu: giữ nước tốt + thoát nước tốt + thông khí tốt\n- Thành phần chính: Akadama (đất sét nung Nhật), đá bọt, đá nham thạch\n- Cây rụng lá: Akadama 50% + đá bọt 25% + đá nham thạch 25%\n- Cây lá kim: Akadama 33% + đá bọt 33% + đá nham thạch 33%\n- Akadama: cần rây sàng trước dùng, sau 2 năm bắt đầu vỡ\n- Đá bọt: giữ nước, rễ đâm nhánh tốt\n- Đá nham thạch: thoát nước, tăng cấu trúc\n- Khí hậu ẩm: thêm đá nham thạch. Khô: thêm Akadama"
"Thay chậu (Repotting)","https://www.bonsaiempire.vn/basics/bonsai-care/repotting","Thay chậu cho Bonsai","- Cây lớn nhanh: 2 năm/lần (đôi khi hàng năm)\n- Cây trưởng thành: 3-5 năm/lần\n- Thời điểm: đầu xuân (khi cây ngủ đông)\n- Dấu hiệu cần thay: rễ bắt đầu tạo vòng trong chậu\n- Hỗn hợp đất: Akadama + đá bọt + đá nham thạch (2:1:1)\n- Các bước: cắt dây buộc → đưa cây ra → bỏ đất cũ → tỉa bớt rễ (tối đa 30%) → lót lưới → cho đất mới → đặt cây → tưới nước\n- Không tỉa quá 30% bộ rễ\n- Thông: đừng động ít nhất 1/2 bộ rễ (bảo vệ nấm rễ cộng sinh)"
"Tỉa cành (Pruning)","https://www.bonsaiempire.vn/basics/styling/pruning","Tỉa cành Bonsai","- 2 kỹ thuật: tỉa duy trì (giữ dáng) và tỉa cấu trúc (tạo dáng cơ bản)\n- Tỉa duy trì: quanh năm, thường tháng 3-9\n- Tỉa cấu trúc: đầu xuân hoặc cuối thu\n- Cây lá kim: dùng tay ngắt (kẹo sẽ làm lá nâu)\n- Cắt bỏ lá (defoliation): giảm kích thước lá và tăng phân nhánh\n- Có thể tỉa tới 1/3 tán lá nếu cây khỏe\n- Bọc vết cắt lớn bằng hồ chuyên dụng\n- Mỗi đợt chỉ nên 1 lần cắt tỉa lớn/năm"
"Uốn cành (Wiring)","https://www.bonsaiempire.vn/basics/styling/wiring","Uốn cây Bonsai","- Có thể uốn quanh năm\n- Cây rụng lá: uốn vào cuối đông (dễ hơn khi không lá)\n- Vật liệu: dây nhôm (cây rụng lá) hoặc dây đồng (thông, lá kim)\n- Độ dày dây = 1/3 độ dày cành\n- Góc quấn: 45 độ\n- Kỹ thuật: quấn cành đôi (2 cành gần nhau) và quấn cành đơn\n- Cành lớn: bọc sợi cọ trước khi quấn\n- Kiểm tra thường xuyên, tháo dây kịp thời tránh cắt vào vỏ\n- Tháo dây: cắt ở mỗi chỗ ngoặt, không dùng lại dây cũ"
"Dụng cụ (Tools)","https://www.bonsaiempire.vn/basics/styling/tools","Các công cụ làm Bonsai","- Cơ bản: kìm cắt chuyên dụng + kéo cắt tiêu chuẩn\n- Kéo: nhiều loại - tiêu chuẩn, lưỡi dài/hẹp, nhỏ cho shohin\n- Kìm cắt chuyên dụng: lưỡi thẳng, bán nguyệt, đầu tròn\n- Dụng cụ khác: nhíp, cưa, dao ghép, lưỡi móc rễ, cào rễ, kìm cắt dây\n- Chất liệu: thép đen (dễ gỉ), thép không gỉ (đắt hơn)\n- Thương hiệu: Nhật (chất lượng cao - giá cao), Trung Quốc (giá rẻ hơn)"
"Trồng từ hạt (From Seeds)","https://www.bonsaiempire.vn/basics/cultivation/from-seeds","Trồng Bonsai từ hạt","- Misho: phương pháp trồng từ hạt của Nhật\n- Cần ít nhất 3 năm trước khi có cây con\n- Hạt: lấy từ cây xung quanh hoặc mua online\n- Phân tầng: mô phỏng mùa đông (ngâm nước, để tủ lạnh 1-2 tháng)\n- Gieo hạt tốt nhất vào mùa thu\n- Các bước: lớp thoát nước → đất Bonsai → đặt hạt → phủ đất 2cm → tưới\n- Thay chậu sau 1 năm"
"Mua cây (Buying)","https://www.bonsaiempire.vn/basics/cultivation/buying-bonsai","Mua cây Bonsai","- Mua cây phù hợp nơi đặt (trong nhà/ngoài trời)\n- Chọn cây có phần gốc (nebari) ưng ý\n- Người mới: chọn cây dễ chăm sóc\n- Hỏi tên loài cây trước khi mua\n- Kiểm tra cây khỏe mạnh, dấu hiệu sinh trưởng tốt\n- Kiểm tra chậu không hư hỏng"
