section,title,content
"Blog","Tạo cây Thông Bonsai (March 2021)","Học cách tạo bonsai mini (Shohin) từ cây thông 8 tuổi - tỉa cành, quấn cành và thay chậu"
"Blog","Bonsai thủy sinh (March 2016)","Bonsai trồng trong hệ thống tuần hoàn nước, không cần đất. Ánh sáng sinh trưởng chuyên dụng."
"Blog","Tiểu cảnh Bonsai Chúa tể những chiếc nhẫn (Dec 2013)","Mô hình Bag End (Bilbo Baggins) từ Lord of the Rings dưới dạng tiểu cảnh bonsai"
"Blog","Bonsai nhà trên cây (July 2013)","Kết hợp mô hình tàu hỏa và bonsai - bonsai treehouse"
"Bonsai Styles","Chokkan (Dáng trực)","Thân thẳng đứng, cành đều. Dáng cây mọc tự nhiên ngoài tự nhiên"
"Bonsai Styles","Moyogi (Dáng trực lắc)","Thân hơi uốn lượn hình chữ S. Phổ biến nhất cho người mới"
"Bonsai Styles","Shakan (Dáng nghiêng)","Thân nghiêng một góc, như cây bị gió thổi"
"Bonsai Styles","Kengai (Thác đổ / Dáng huyền)","Ngọn cây đổ xuống dưới đáy chậu, như cây mọc trên vách đá"
"Bonsai Styles","Han Kengai (Bán thác đổ / Dáng bay)","Ngọn cây đổ ngang miệng chậu, không xuống đáy chậu"
"Bonsai Styles","Bunjingi (Văn nhân)","Thân mảnh khảnh, cao, ít cành. Như cây trong tranh thủy mặc"
"Bonsai Styles","Fukinagashi (Xuy phong)","Cành và thân đều nghiêng về một hướng như bị gió thổi"
"Bonsai Styles","Sokan (Thân đôi)","Hai thân từ một gốc. Thân chính cao hơn, thân phụ thấp hơn"
"Bonsai Styles","Kabudachi (Đa thân)","Ba thân hoặc nhiều hơn từ một gốc"
"Bonsai Styles","Yose Ue (Rừng cây)","Nhiều cây trồng trong một chậu tạo hiệu ứng khu rừng"
"Bonsai Styles","Seki Joju (Bám đá)","Rễ bám vào đá, đâm xuống đất bên dưới"
"Bonsai Styles","Ishisuki (Mọc trong đá)","Cây mọc trực tiếp trong khe đá"
"Bonsai Styles","Ikadabuki (Bè)","Thân nằm ngang như khúc gỗ, cành mọc lên từ thân"
"Bonsai Styles","Sharimiki (Gỗ lũa)","Phần thân chết khô (jin/shari) kết hợp với phần sống"
"Gallery","Thư viện ảnh Bonsai","Hình ảnh từ Bảo tàng Nghệ thuật Bonsai Omiya (Nhật Bản), Bjorn Bjorholm (Nhật Bản), Bảo tàng Bonsai Luis Vallejo (Madrid)"
"Top 10","Cây Bonsai điên rồ nhất","Tuyển tập các tác phẩm Bonsai kỳ lạ, khác thường"
"Top 10","Cây Bonsai nhỏ nhất","Bonsai Mame / Mini - những cây tí hon"
"Top 10","Cây Bonsai nhiều tuổi nhất","Cây Bonsai trên 800 năm tuổi"
